osm-id	version	latitudine	longitudine	road	house-number	suburb	district	city	county	state	post-code	country	cc	continent	amenity	brand	car	cu-code	cu-recharge	cu-state	elapsed-time	enel-name	enel-post-code	name	region	serial-number	usage-level	zona
4295717962	7	43.65151	10.28458	Via Litoranea				Pisa				Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000292	FINISHED	ACTIVE	0	Bagno Vittoria	56128	ENEL_00000292	Tuscany	N.11EP21T2302C000184	0	Pisa
4295717963	7	44.695763	10.628965	Piazza Roversi				Reggio nell'Emilia			42122	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000472	FINISHED	ACTIVE	0	ROVERSI	42121	ENEL_00000472	Emilia Romagna	N.11EP21T2302E000217	0	Reggio Emilia
4295717964	7	43.72592	10.397893	Via Piave				Pisa			56126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000083	FINISHED	ACTIVE	0	Via Piave	0	ENEL_00000083	Tuscany	N.10EP21T2302A000016	0	Pisa
4295717965	7	41.89347	12.488625	Largo Corrado Ricci				Roma			184	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000251	FINISHED	ACTIVE	0	Ricci	0	ENEL_00000251	Lazio	N.11CP21T2B02C000097	0	Rome
4295717966	7	41.884666	12.509721	Via Magnagrecia				Roma			183	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000121	FINISHED	ACTIVE	0	Via Magna Grecia 33	0	ENEL_00000121	Lazio	N.10CP21T2B02A000059	0	Rome
		45.50347	9.0881	Via Enrico Fermi				Pero			20016	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000549	FINISHED	MAINTENANCE	0	Europe Ass 4	0	ENEL_00000549	Lombardy	N.12ZP21T2B01C000011	0	Milan
4295717967	7	43.10883	12.35966	Località Pian di Massiano				Perugia			6125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000567	FINISHED	ACTIVE	0	pian di massiano	0	ENEL_00000567	Umbria	N.13EP22T5311F000002	0	Perugia
		41.08902	16.89681	Via Caduti del Lavoro (Ikea)				Bari			70125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000608	FINISHED	INSTALLED	0	Caduti del Lavoro 2	70126	ENEL_00000608	Puglia	N.13EP21T2301H000013	0	Bari
4295717968	7	45.40658	9.15065	Viale Milano Fiori				Assago			20142	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000387	FINISHED	ACTIVE	0	Milanofiori_1	20090	ENEL_00000387	Lombardy	N.11EP21T2301C000020	0	Milan
		45.56281	9.02897	Via Rho				Lainate			20020	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000070	FINISHED	MAINTENANCE	0	Via Rho 1	0	ENEL_00000070	Lombardy	N.10EP21T2302B000107	0	Milan
4295717969	7	43.104397	12.375783	Piazza Vittorio Veneto				Perugia			6100	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000421	FINISHED	ACTIVE	0	Veneto 1	6124	ENEL_00000421	Umbria	N.11EP21T2301C000038	0	Perugia
		45.56278	9.0289	Via Rho				Lainate			20020	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000529	FINISHED	MAINTENANCE	0	Via Rho 1	0	ENEL_00000529	Lombardy	N.10EP21T2302B000108	0	Milan
		41.868732	12.491937	Via Capitan Bavastro				Roma			154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000304	FINISHED	MAINTENANCE	0	Capitan Bavastro	154	ENEL_00000304	Lazio	N.11CP21T2B01C000005	0	Rome
4295717970	7	41.903156	12.494502	Via Torino				Roma			139	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000417	FINISHED	ACTIVE	0	Torino	184	ENEL_00000417	Lazio	N.11CP21T2B01C000020	0	Rome
4295717971	7	44.41641	8.92264	Piazza Acquaverde				Genova			16126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000510	FINISHED	ACTIVE	0	AEEG242 5 Acquaverde	16126	ENEL_00000510	Liguria	N.12EP21T2301H000013	0	Genova
4295717972	7	43.10694	12.36373	via del Tabacchificio				Perugia			6123	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000531	FINISHED	ACTIVE	0	tabacchificio	6100	ENEL_00000531	Umbria	N.11EP21T2301C000006	0	Perugia
4295717973	7	43.09115	12.43702	via Nino Bixio				Perugia			6154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000568	FINISHED	ACTIVE	0	bixio2	6135	ENEL_00000568	Umbria	N.11EP21T2302C000169	0	Perugia
4295717974	7	41.91007	12.475162	Via Principessa Clotilde				Roma			196	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000400	FINISHED	ACTIVE	0	Car sharing 2	196	ENEL_00000400	Lazio	N.10CP21T2B02B000066	0	Rome
		44.51266	11.34971	Via di Saliceto				Bologna			40128	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000466	FINISHED	MAINTENANCE	0	BO-SALICETO	40128	ENEL_00000466	Emilia Romagna	N.11EP21T2301C000057	0	Bologna
		41.902493	12.477073	Via dei Prefetti				Roma			188	Italia	IT	European Union	charging_station	Enel	yes	EnEnergia_00000009	FINISHED	MAINTENANCE	0	Car Sharing - Prefetti	186	EnEnergia_00000009	Lazio	N.13CP21T2B01H000011	0	Rome
4295717975	7	41.11139	16.88298	Via Giovanni Amendola				Bari			70126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000585	FINISHED	ACTIVE	0	Politecnico 2	70126	ENEL_00000585	Puglia	N.13EP21T2301H000001	0	Bari
4295717976	7	41.11308	16.898666	Viale Japigia				Bari			70126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000580	FINISHED	ACTIVE	0	Bari 006	70126	ENEL_00000580	Puglia	N.12EP21T2301H000055	0	Bari
